"Observed Property ID","Observed Property Descritpion","CAS Number","Unit Group","Default Unit","Supports Unit Conversion","EMS Code","Analysis Type","Result Type","Method ID","Method Name","Method Description","Method Source"
"Iron Dissolved (fl. conc.)","Metals - Dissolved; EMS code: FE-D",NA,"Concentration","mg/L",TRUE,"FE-D","CHEMICAL","NUMERIC","0050","Graphite Furnace AA","Graphite Furnace AA","EMS Migration"
"Aluminum Dissolved (fl. conc.)","Metals - Dissolved; EMS code: AL-D","7429-90-5","Concentration","mg/L",TRUE,"AL-D","CHEMICAL","NUMERIC","0050","Graphite Furnace AA","Graphite Furnace AA","EMS Migration"
"Lead-Soluble (mass flux)","Metals - Soluble; EMS code: PB-S",NA,"MassFlux","mg/dm²/d",TRUE,"PB-S","CHEMICAL","NUMERIC","0050","Graphite Furnace AA","Graphite Furnace AA","EMS Migration"
"Silver Total (fl. conc.)","Metals - Total; EMS code: AG-T","7440-22-4","Concentration","mg/L",TRUE,"AG-T","CHEMICAL","NUMERIC","0050","Graphite Furnace AA","Graphite Furnace AA","EMS Migration"
"Zinc Dissolved (fl. conc.)","Metals - Dissolved; EMS code: ZN-D","7440-66-6","Concentration","mg/L",TRUE,"ZN-D","CHEMICAL","NUMERIC","0050","Graphite Furnace AA","Graphite Furnace AA","EMS Migration"
"Nickel Dissolved (fl. conc.)","Metals - Dissolved; EMS code: NI-D","7440-02-0","Concentration","mg/L",TRUE,"NI-D","CHEMICAL","NUMERIC","0050","Graphite Furnace AA","Graphite Furnace AA","EMS Migration"
"Silver Dissolved (fl. conc.)","Metals - Dissolved; EMS code: AG-D","7440-22-4","Concentration","mg/L",TRUE,"AG-D","CHEMICAL","NUMERIC","0050","Graphite Furnace AA","Graphite Furnace AA","EMS Migration"
"Cadmium Total (fl. conc.)","Metals - Total; EMS code: CD-T","7440-43-9","Concentration","mg/L",TRUE,"CD-T","CHEMICAL","NUMERIC","0050","Graphite Furnace AA","Graphite Furnace AA","EMS Migration"
"Antimony Dissolved (fl. conc.)","Metals - Dissolved; EMS code: SB-D","7440-36-0","Concentration","mg/L",TRUE,"SB-D","CHEMICAL","NUMERIC","0050","Graphite Furnace AA","Graphite Furnace AA","EMS Migration"
"Nickel Total (fl. conc.)","Metals - Total; EMS code: NI-T","7440-02-0","Concentration","mg/L",TRUE,"NI-T","CHEMICAL","NUMERIC","0050","Graphite Furnace AA","Graphite Furnace AA","EMS Migration"
"Manganese Dissolved (fl. conc.)","Metals - Dissolved; EMS code: MN-D","7439-96-5","Concentration","mg/L",TRUE,"MN-D","CHEMICAL","NUMERIC","0050","Graphite Furnace AA","Graphite Furnace AA","EMS Migration"
"Cadmium Dissolved (fl. conc.)","Metals - Dissolved; EMS code: CD-D","7440-43-9","Concentration","mg/L",TRUE,"CD-D","CHEMICAL","NUMERIC","0051","Graphite Furnace AA","Graphite Furnace","EMS Migration"
"Lead Dissolved (fl. conc.)","Metals - Dissolved; EMS code: PB-D",NA,"Concentration","mg/L",TRUE,"PB-D","CHEMICAL","NUMERIC","0051","Graphite Furnace AA","Graphite Furnace","EMS Migration"
"Silver Total (fl. conc.)","Metals - Total; EMS code: AG-T","7440-22-4","Concentration","mg/L",TRUE,"AG-T","CHEMICAL","NUMERIC","0051","Graphite Furnace AA","Graphite Furnace","EMS Migration"
"Silver Dissolved (fl. conc.)","Metals - Dissolved; EMS code: AG-D","7440-22-4","Concentration","mg/L",TRUE,"AG-D","CHEMICAL","NUMERIC","0051","Graphite Furnace AA","Graphite Furnace","EMS Migration"
"Cadmium Total (fl. conc.)","Metals - Total; EMS code: CD-T","7440-43-9","Concentration","mg/L",TRUE,"CD-T","CHEMICAL","NUMERIC","0051","Graphite Furnace AA","Graphite Furnace","EMS Migration"
"Cobalt Dissolved (fl. conc.)","Metals - Dissolved; EMS code: CO-D","7440-48-4","Concentration","mg/L",TRUE,"CO-D","CHEMICAL","NUMERIC","0051","Graphite Furnace AA","Graphite Furnace","EMS Migration"
"Aluminum Dissolved (fl. conc.)","Metals - Dissolved; EMS code: AL-D","7429-90-5","Concentration","mg/L",TRUE,"AL-D","CHEMICAL","NUMERIC","0060","HNO3 Dig: HGA Analysis","HNO3 Dig: HGA Analysis","EMS Migration"
"Cobalt Total (fl. conc.)","Metals - Total; EMS code: CO-T","7440-48-4","Concentration","mg/L",TRUE,"CO-T","CHEMICAL","NUMERIC","0060","HNO3 Dig: HGA Analysis","HNO3 Dig: HGA Analysis","EMS Migration"
"Copper Total (fl. conc.)","Metals - Total; EMS code: CU-T","7440-50-8","Concentration","mg/L",TRUE,"CU-T","CHEMICAL","NUMERIC","0060","HNO3 Dig: HGA Analysis","HNO3 Dig: HGA Analysis","EMS Migration"
"Cadmium Total (fl. conc.)","Metals - Total; EMS code: CD-T","7440-43-9","Concentration","mg/L",TRUE,"CD-T","CHEMICAL","NUMERIC","0060","HNO3 Dig: HGA Analysis","HNO3 Dig: HGA Analysis","EMS Migration"
"Aluminum Total (fl. conc.)","Metals - Total; EMS code: AL-T","7429-90-5","Concentration","mg/L",TRUE,"AL-T","CHEMICAL","NUMERIC","0060","HNO3 Dig: HGA Analysis","HNO3 Dig: HGA Analysis","EMS Migration"
"Zinc Total (fl. conc.)","Metals - Total; EMS code: ZN-T","7440-66-6","Concentration","mg/L",TRUE,"ZN-T","CHEMICAL","NUMERIC","0060","HNO3 Dig: HGA Analysis","HNO3 Dig: HGA Analysis","EMS Migration"
"Copper Dissolved (fl. conc.)","Metals - Dissolved; EMS code: CU-D","7440-50-8","Concentration","mg/L",TRUE,"CU-D","CHEMICAL","NUMERIC","0060","HNO3 Dig: HGA Analysis","HNO3 Dig: HGA Analysis","EMS Migration"
"Lead Total (fl. conc.)","Metals - Total; EMS code: PB-T",NA,"Concentration","mg/L",TRUE,"PB-T","CHEMICAL","NUMERIC","0060","HNO3 Dig: HGA Analysis","HNO3 Dig: HGA Analysis","EMS Migration"
"Chromium Total (fl. conc.)","Metals - Total; EMS code: CR-T","7440-47-3","Concentration","mg/L",TRUE,"CR-T","CHEMICAL","NUMERIC","0060","HNO3 Dig: HGA Analysis","HNO3 Dig: HGA Analysis","EMS Migration"
"Nickel Total (fl. conc.)","Metals - Total; EMS code: NI-T","7440-02-0","Concentration","mg/L",TRUE,"NI-T","CHEMICAL","NUMERIC","0060","HNO3 Dig: HGA Analysis","HNO3 Dig: HGA Analysis","EMS Migration"
"Manganese Total (fl. conc.)","Metals - Total; EMS code: MN-T","7439-96-5","Concentration","mg/L",TRUE,"MN-T","CHEMICAL","NUMERIC","0060","HNO3 Dig: HGA Analysis","HNO3 Dig: HGA Analysis","EMS Migration"
"Cobalt Total (fl. conc.)","Metals - Total; EMS code: CO-T","7440-48-4","Concentration","mg/L",TRUE,"CO-T","CHEMICAL","NUMERIC","0061","HNO3 Dig: GFAA Analysis","HNO3 Dig: GFAA Analysis","EMS Migration"
"Cadmium Total (fl. conc.)","Metals - Total; EMS code: CD-T","7440-43-9","Concentration","mg/L",TRUE,"CD-T","CHEMICAL","NUMERIC","0061","HNO3 Dig: GFAA Analysis","HNO3 Dig: GFAA Analysis","EMS Migration"
"Aluminum Total (fl. conc.)","Metals - Total; EMS code: AL-T","7429-90-5","Concentration","mg/L",TRUE,"AL-T","CHEMICAL","NUMERIC","0061","HNO3 Dig: GFAA Analysis","HNO3 Dig: GFAA Analysis","EMS Migration"
"Lead Total (fl. conc.)","Metals - Total; EMS code: PB-T",NA,"Concentration","mg/L",TRUE,"PB-T","CHEMICAL","NUMERIC","0061","HNO3 Dig: GFAA Analysis","HNO3 Dig: GFAA Analysis","EMS Migration"
"Chromium Total (fl. conc.)","Metals - Total; EMS code: CR-T","7440-47-3","Concentration","mg/L",TRUE,"CR-T","CHEMICAL","NUMERIC","0061","HNO3 Dig: GFAA Analysis","HNO3 Dig: GFAA Analysis","EMS Migration"
"Nickel Total (fl. conc.)","Metals - Total; EMS code: NI-T","7440-02-0","Concentration","mg/L",TRUE,"NI-T","CHEMICAL","NUMERIC","0061","HNO3 Dig: GFAA Analysis","HNO3 Dig: GFAA Analysis","EMS Migration"
"Manganese Total (fl. conc.)","Metals - Total; EMS code: MN-T","7439-96-5","Concentration","mg/L",TRUE,"MN-T","CHEMICAL","NUMERIC","0061","HNO3 Dig: GFAA Analysis","HNO3 Dig: GFAA Analysis","EMS Migration"
"Molybdenum Dissolved (fl. conc.)","Metals - Dissolved; EMS code: MO-D","7439-98-7","Concentration","mg/L",TRUE,"MO-D","CHEMICAL","NUMERIC","0070","Ext(Oxime):AA Analysis","Ext(Oxime): AA Analysis","EMS Migration"
"Molybdenum Total (fl. conc.)","Metals - Total; EMS code: MO-T","7439-98-7","Concentration","mg/L",TRUE,"MO-T","CHEMICAL","NUMERIC","0080","Dig:Ext(Oxime):AA Anal.","Dig: Ext(Oxime): AA Anal.","EMS Migration"
"Cadmium Dissolved (fl. conc.)","Metals - Dissolved; EMS code: CD-D","7440-43-9","Concentration","mg/L",TRUE,"CD-D","CHEMICAL","NUMERIC","0090","Ext.(APDC):AA Anal.","Ext.(APDC): AA Anal.","EMS Migration"
"Lead Dissolved (fl. conc.)","Metals - Dissolved; EMS code: PB-D",NA,"Concentration","mg/L",TRUE,"PB-D","CHEMICAL","NUMERIC","0090","Ext.(APDC):AA Anal.","Ext.(APDC): AA Anal.","EMS Migration"
"Zinc Dissolved (fl. conc.)","Metals - Dissolved; EMS code: ZN-D","7440-66-6","Concentration","mg/L",TRUE,"ZN-D","CHEMICAL","NUMERIC","0090","Ext.(APDC):AA Anal.","Ext.(APDC): AA Anal.","EMS Migration"
"Copper Dissolved (fl. conc.)","Metals - Dissolved; EMS code: CU-D","7440-50-8","Concentration","mg/L",TRUE,"CU-D","CHEMICAL","NUMERIC","0090","Ext.(APDC):AA Anal.","Ext.(APDC): AA Anal.","EMS Migration"
"Iron Dissolved (fl. conc.)","Metals - Dissolved; EMS code: FE-D",NA,"Concentration","mg/L",TRUE,"FE-D","CHEMICAL","NUMERIC","0090","Ext.(APDC):AA Anal.","Ext.(APDC): AA Anal.","EMS Migration"
"Chromium Total (fl. conc.)","Metals - Total; EMS code: CR-T","7440-47-3","Concentration","mg/L",TRUE,"CR-T","CHEMICAL","NUMERIC","0095","%5 A.R. Dig:HGA Analysis","%5 A.R. Dig: HGA Analysis","EMS Migration"
"Copper Total (fl. conc.)","Metals - Total; EMS code: CU-T","7440-50-8","Concentration","mg/L",TRUE,"CU-T","CHEMICAL","NUMERIC","0100","Dig:Ext.(APDC):AA Anal.","Dig: Ext.(APDC): AA Anal.","EMS Migration"
"Cadmium Total (fl. conc.)","Metals - Total; EMS code: CD-T","7440-43-9","Concentration","mg/L",TRUE,"CD-T","CHEMICAL","NUMERIC","0100","Dig:Ext.(APDC):AA Anal.","Dig: Ext.(APDC): AA Anal.","EMS Migration"
"Zinc Total (fl. conc.)","Metals - Total; EMS code: ZN-T","7440-66-6","Concentration","mg/L",TRUE,"ZN-T","CHEMICAL","NUMERIC","0100","Dig:Ext.(APDC):AA Anal.","Dig: Ext.(APDC): AA Anal.","EMS Migration"
"Lead Total (fl. conc.)","Metals - Total; EMS code: PB-T",NA,"Concentration","mg/L",TRUE,"PB-T","CHEMICAL","NUMERIC","0100","Dig:Ext.(APDC):AA Anal.","Dig: Ext.(APDC): AA Anal.","EMS Migration"
"Chromium Total (fl. conc.)","Metals - Total; EMS code: CR-T","7440-47-3","Concentration","mg/L",TRUE,"CR-T","CHEMICAL","NUMERIC","0100","Dig:Ext.(APDC):AA Anal.","Dig: Ext.(APDC): AA Anal.","EMS Migration"
"Nickel Total (fl. conc.)","Metals - Total; EMS code: NI-T","7440-02-0","Concentration","mg/L",TRUE,"NI-T","CHEMICAL","NUMERIC","0100","Dig:Ext.(APDC):AA Anal.","Dig: Ext.(APDC): AA Anal.","EMS Migration"
"Iron Total (fl. conc.)","Metals - Total; EMS code: FE-T",NA,"Concentration","mg/L",TRUE,"FE-T","CHEMICAL","NUMERIC","0100","Dig:Ext.(APDC):AA Anal.","Dig: Ext.(APDC): AA Anal.","EMS Migration"
"Copper Total (fl. conc.)","Metals - Total; EMS code: CU-T","7440-50-8","Concentration","mg/L",TRUE,"CU-T","CHEMICAL","NUMERIC","0105","5%AR Dig:APDC Ext:AA Anl","5%AR Dig: APDC Ext: AA Anl","EMS Migration"
"Cadmium Total (fl. conc.)","Metals - Total; EMS code: CD-T","7440-43-9","Concentration","mg/L",TRUE,"CD-T","CHEMICAL","NUMERIC","0105","5%AR Dig:APDC Ext:AA Anl","5%AR Dig: APDC Ext: AA Anl","EMS Migration"
"Zinc Total (fl. conc.)","Metals - Total; EMS code: ZN-T","7440-66-6","Concentration","mg/L",TRUE,"ZN-T","CHEMICAL","NUMERIC","0105","5%AR Dig:APDC Ext:AA Anl","5%AR Dig: APDC Ext: AA Anl","EMS Migration"
"Lead Total (fl. conc.)","Metals - Total; EMS code: PB-T",NA,"Concentration","mg/L",TRUE,"PB-T","CHEMICAL","NUMERIC","0105","5%AR Dig:APDC Ext:AA Anl","5%AR Dig: APDC Ext: AA Anl","EMS Migration"
"Nickel Total (fl. conc.)","Metals - Total; EMS code: NI-T","7440-02-0","Concentration","mg/L",TRUE,"NI-T","CHEMICAL","NUMERIC","0105","5%AR Dig:APDC Ext:AA Anl","5%AR Dig: APDC Ext: AA Anl","EMS Migration"
"Iron Total (fl. conc.)","Metals - Total; EMS code: FE-T",NA,"Concentration","mg/L",TRUE,"FE-T","CHEMICAL","NUMERIC","0105","5%AR Dig:APDC Ext:AA Anl","5%AR Dig: APDC Ext: AA Anl","EMS Migration"
"Vanadium Dissolved (fl. conc.)","Metals - Dissolved; EMS code: V--D","7440-62-2","Concentration","mg/L",TRUE,"V--D","CHEMICAL","NUMERIC","0150","Ext(Cupf.):AA Anal.","Ext(Cupf.): AA Anal.","EMS Migration"
"Vanadium Dissolved (fl. conc.)","Metals - Dissolved; EMS code: V--D","7440-62-2","Concentration","mg/L",TRUE,"V--D","CHEMICAL","NUMERIC","0160","Dig:Ext(Cupf.):AA Anal.","Dig: Ext(Cupf.): AA Anal.","EMS Migration"
"Arsenic Dissolved (fl. conc.)","Metals - Dissolved; EMS code: AS-D","7440-38-2","Concentration","mg/L",TRUE,"AS-D","CHEMICAL","NUMERIC","0170","Hydride/ICP Anal.","Hydride/ICP Anal.","EMS Migration"
"Selenium Total (fl. conc.)","Metals - Total; EMS code: SE-T","7782-49-2","Concentration","mg/L",TRUE,"SE-T","CHEMICAL","NUMERIC","0180","HNO3 Dig:Hydride ICP","HNO3 Dig: Hydride ICP","EMS Migration"
"Arsenic Dissolved (fl. conc.)","Metals - Dissolved; EMS code: AS-D","7440-38-2","Concentration","mg/L",TRUE,"AS-D","CHEMICAL","NUMERIC","0180","HNO3 Dig:Hydride ICP","HNO3 Dig: Hydride ICP","EMS Migration"
"Arsenic Total (fl. conc.)","Metals - Total; EMS code: AS-T","7440-38-2","Concentration","mg/L",TRUE,"AS-T","CHEMICAL","NUMERIC","0180","HNO3 Dig:Hydride ICP","HNO3 Dig: Hydride ICP","EMS Migration"
"Selenium Total (fl. conc.)","Metals - Total; EMS code: SE-T","7782-49-2","Concentration","mg/L",TRUE,"SE-T","CHEMICAL","NUMERIC","0181","HCl/K2S2O8: Hydride: ICP","HCl/K2S2O8, Hydride; ICP","EMS Migration"
"Arsenic Dissolved (fl. conc.)","Metals - Dissolved; EMS code: AS-D","7440-38-2","Concentration","mg/L",TRUE,"AS-D","CHEMICAL","NUMERIC","0181","HCl/K2S2O8: Hydride: ICP","HCl/K2S2O8, Hydride; ICP","EMS Migration"
"Arsenic Total (fl. conc.)","Metals - Total; EMS code: AS-T","7440-38-2","Concentration","mg/L",TRUE,"AS-T","CHEMICAL","NUMERIC","0181","HCl/K2S2O8: Hydride: ICP","HCl/K2S2O8, Hydride; ICP","EMS Migration"
"Antimony Total (fl. conc.)","Metals - Total; EMS code: SB-T","7440-36-0","Concentration","mg/L",TRUE,"SB-T","CHEMICAL","NUMERIC","0185","Hydr.At.Absorp.Spec(H2O)","Hydr.At.Absorp.Spec(H2O)","EMS Migration"
"Selenium Dissolved (fl. conc.)","Metals - Dissolved; EMS code: SE-D","7782-49-2","Concentration","mg/L",TRUE,"SE-D","CHEMICAL","NUMERIC","0185","Hydr.At.Absorp.Spec(H2O)","Hydr.At.Absorp.Spec(H2O)","EMS Migration"
"Selenium Total (fl. conc.)","Metals - Total; EMS code: SE-T","7782-49-2","Concentration","mg/L",TRUE,"SE-T","CHEMICAL","NUMERIC","0185","Hydr.At.Absorp.Spec(H2O)","Hydr.At.Absorp.Spec(H2O)","EMS Migration"
"Arsenic Dissolved (fl. conc.)","Metals - Dissolved; EMS code: AS-D","7440-38-2","Concentration","mg/L",TRUE,"AS-D","CHEMICAL","NUMERIC","0185","Hydr.At.Absorp.Spec(H2O)","Hydr.At.Absorp.Spec(H2O)","EMS Migration"
"Antimony Dissolved (fl. conc.)","Metals - Dissolved; EMS code: SB-D","7440-36-0","Concentration","mg/L",TRUE,"SB-D","CHEMICAL","NUMERIC","0185","Hydr.At.Absorp.Spec(H2O)","Hydr.At.Absorp.Spec(H2O)","EMS Migration"
"Arsenic Total (fl. conc.)","Metals - Total; EMS code: AS-T","7440-38-2","Concentration","mg/L",TRUE,"AS-T","CHEMICAL","NUMERIC","0185","Hydr.At.Absorp.Spec(H2O)","Hydr.At.Absorp.Spec(H2O)","EMS Migration"
"Cadmium Total (mass conc.)","Metals - Total; EMS code: CD-T","7440-43-9","MassPerMass","mg/kg",TRUE,"CD-T","CHEMICAL","NUMERIC","0190","D&G:N/P Dig:ICP Anal.","Sample is dried and grind-mixed before nitric perchloric digestion followed by ICP analysis.","EMS Migration"
"Nickel Total (mass conc.)","Metals - Total; EMS code: NI-T","7440-02-0","MassPerMass","mg/kg",TRUE,"NI-T","CHEMICAL","NUMERIC","0190","D&G:N/P Dig:ICP Anal.","Sample is dried and grind-mixed before nitric perchloric digestion followed by ICP analysis.","EMS Migration"
"Cobalt Total (mass conc.)","Metals - Total; EMS code: CO-T","7440-48-4","MassPerMass","mg/kg",TRUE,"CO-T","CHEMICAL","NUMERIC","0190","D&G:N/P Dig:ICP Anal.","Sample is dried and grind-mixed before nitric perchloric digestion followed by ICP analysis.","EMS Migration"
"Aluminum Total (mass conc.)","Metals - Total; EMS code: AL-T","7429-90-5","MassPerMass","mg/kg",TRUE,"AL-T","CHEMICAL","NUMERIC","0190","D&G:N/P Dig:ICP Anal.","Sample is dried and grind-mixed before nitric perchloric digestion followed by ICP analysis.","EMS Migration"
"Phosphorus Total (mass conc.)","Nutrients; EMS code: P--T","7723-14-0","MassPerMass","mg/kg",TRUE,"P--T","CHEMICAL","NUMERIC","0190","D&G:N/P Dig:ICP Anal.","Sample is dried and grind-mixed before nitric perchloric digestion followed by ICP analysis.","EMS Migration"
"Chromium Total (mass conc.)","Metals - Total; EMS code: CR-T","7440-47-3","MassPerMass","mg/kg",TRUE,"CR-T","CHEMICAL","NUMERIC","0190","D&G:N/P Dig:ICP Anal.","Sample is dried and grind-mixed before nitric perchloric digestion followed by ICP analysis.","EMS Migration"
"Tin Total (mass conc.)","Metals - Total; EMS code: SN-T","7440-31-5","MassPerMass","mg/kg",TRUE,"SN-T","CHEMICAL","NUMERIC","0190","D&G:N/P Dig:ICP Anal.","Sample is dried and grind-mixed before nitric perchloric digestion followed by ICP analysis.","EMS Migration"
"Arsenic Total (mass conc.)","Metals - Total; EMS code: AS-T","7440-38-2","MassPerMass","mg/kg",TRUE,"AS-T","CHEMICAL","NUMERIC","0190","D&G:N/P Dig:ICP Anal.","Sample is dried and grind-mixed before nitric perchloric digestion followed by ICP analysis.","EMS Migration"
"Vanadium Total (mass conc.)","Metals - Total; EMS code: V--T","7440-62-2","MassPerMass","mg/kg",TRUE,"V--T","CHEMICAL","NUMERIC","0190","D&G:N/P Dig:ICP Anal.","Sample is dried and grind-mixed before nitric perchloric digestion followed by ICP analysis.","EMS Migration"
"Magnesium Total (mass conc.)","Metals - Total; EMS code: MG-T","7439-95-4","MassPerMass","mg/kg",TRUE,"MG-T","CHEMICAL","NUMERIC","0190","D&G:N/P Dig:ICP Anal.","Sample is dried and grind-mixed before nitric perchloric digestion followed by ICP analysis.","EMS Migration"
"Zinc Total (mass conc.)","Metals - Total; EMS code: ZN-T","7440-66-6","MassPerMass","mg/kg",TRUE,"ZN-T","CHEMICAL","NUMERIC","0190","D&G:N/P Dig:ICP Anal.","Sample is dried and grind-mixed before nitric perchloric digestion followed by ICP analysis.","EMS Migration"
"Strontium Total (mass conc.)","Metals - Total; EMS code: SR-T","7440-24-6","MassPerMass","mg/kg",TRUE,"SR-T","CHEMICAL","NUMERIC","0190","D&G:N/P Dig:ICP Anal.","Sample is dried and grind-mixed before nitric perchloric digestion followed by ICP analysis.","EMS Migration"
"Manganese Total (mass conc.)","Metals - Total; EMS code: MN-T","7439-96-5","MassPerMass","mg/kg",TRUE,"MN-T","CHEMICAL","NUMERIC","0190","D&G:N/P Dig:ICP Anal.","Sample is dried and grind-mixed before nitric perchloric digestion followed by ICP analysis.","EMS Migration"
"Titanium Total (mass conc.)","Metals - Total; EMS code: TI-T","7440-32-6","MassPerMass","mg/kg",TRUE,"TI-T","CHEMICAL","NUMERIC","0190","D&G:N/P Dig:ICP Anal.","Sample is dried and grind-mixed before nitric perchloric digestion followed by ICP analysis.","EMS Migration"
"Selenium Total (mass conc.)","Metals - Total; EMS code: SE-T","7782-49-2","MassPerMass","mg/kg",TRUE,"SE-T","CHEMICAL","NUMERIC","0190","D&G:N/P Dig:ICP Anal.","Sample is dried and grind-mixed before nitric perchloric digestion followed by ICP analysis.","EMS Migration"
"Barium Total (mass conc.)","Metals - Total; EMS code: BA-T","7440-39-3","MassPerMass","mg/kg",TRUE,"BA-T","CHEMICAL","NUMERIC","0190","D&G:N/P Dig:ICP Anal.","Sample is dried and grind-mixed before nitric perchloric digestion followed by ICP analysis.","EMS Migration"
"Boron Total (mass conc.)","Metals - Total; EMS code: B--T","7440-42-8","MassPerMass","mg/kg",TRUE,"B--T","CHEMICAL","NUMERIC","0190","D&G:N/P Dig:ICP Anal.","Sample is dried and grind-mixed before nitric perchloric digestion followed by ICP analysis.","EMS Migration"
"Lead Total (mass conc.)","Metals - Total; EMS code: PB-T",NA,"MassPerMass","mg/kg",TRUE,"PB-T","CHEMICAL","NUMERIC","0190","D&G:N/P Dig:ICP Anal.","Sample is dried and grind-mixed before nitric perchloric digestion followed by ICP analysis.","EMS Migration"
"Beryllium Total (mass conc.)","Metals - Total; EMS code: BE-T","7440-41-7","MassPerMass","mg/kg",TRUE,"BE-T","CHEMICAL","NUMERIC","0190","D&G:N/P Dig:ICP Anal.","Sample is dried and grind-mixed before nitric perchloric digestion followed by ICP analysis.","EMS Migration"
"Iron Total (mass conc.)","Metals - Total; EMS code: FE-T",NA,"MassPerMass","mg/kg",TRUE,"FE-T","CHEMICAL","NUMERIC","0190","D&G:N/P Dig:ICP Anal.","Sample is dried and grind-mixed before nitric perchloric digestion followed by ICP analysis.","EMS Migration"
"Antimony Total (mass conc.)","Metals - Total; EMS code: SB-T","7440-36-0","MassPerMass","mg/kg",TRUE,"SB-T","CHEMICAL","NUMERIC","0190","D&G:N/P Dig:ICP Anal.","Sample is dried and grind-mixed before nitric perchloric digestion followed by ICP analysis.","EMS Migration"
"Molybdenum Total (mass conc.)","Metals - Total; EMS code: MO-T","7439-98-7","MassPerMass","mg/kg",TRUE,"MO-T","CHEMICAL","NUMERIC","0190","D&G:N/P Dig:ICP Anal.","Sample is dried and grind-mixed before nitric perchloric digestion followed by ICP analysis.","EMS Migration"
"Silicon Total (mass conc.)","Metals - Total; EMS code: SI-T","7440-21-3","MassPerMass","mg/kg",TRUE,"SI-T","CHEMICAL","NUMERIC","0190","D&G:N/P Dig:ICP Anal.","Sample is dried and grind-mixed before nitric perchloric digestion followed by ICP analysis.","EMS Migration"
"Sulfur Total (mass conc.)","EMS code: S--T","7704-34-9","MassPerMass","mg/kg",TRUE,"S--T","CHEMICAL","NUMERIC","0190","D&G:N/P Dig:ICP Anal.","Sample is dried and grind-mixed before nitric perchloric digestion followed by ICP analysis.","EMS Migration"
